jn	abs	pmid
11. J Pharmacol Exp Ther. 2017 Jun;361(3):386-397. doi: 10.1124/jpet.116.239707. Epub	2017 Apr 7.  Regulation of UDP-Glucuronosyltransferases UGT2B4 and UGT2B7 by MicroRNAs in Liver Cancer Cells.  Wijayakumara DD(1), Mackenzie PI(1), McKinnon RA(1), Hu DG(2), Meech R(2).  Author information:  (1)Department of Clinical Pharmacology and Flinders Centre for Innovation in Cancer, Flinders University School of Medicine, Flinders Medical Centre, Bedford  Park, South Australia, Australia. (2)Department of Clinical Pharmacology and Flinders Centre for Innovation in Cancer, Flinders University School of Medicine, Flinders Medical Centre, Bedford  Park, South Australia, Australia robyn.meech@flinders.edu.au donggui.hu@flinders.edu.au.  The transcriptional regulation of UDP-glucuronosyltransferases UGT2B4 and UGT2B7  has been well studied using liver cancer cell lines, and post-transcriptional regulation of these two UGTs by microRNA (miRNA/miR) miR-216b-5p was recently reported. This study describes novel miRNA-mediated regulation of UGT2B4 and UGT2B7 in liver cancer cells. Bioinformatic analyses identified a putative miR-3664-3p binding site in the UGT2B7 3'-untranslated region (UTR) and binding sites for both miR-135a-5p and miR-410-3p in the UGT2B4 3'-UTR. These sites were  functionally characterized using miRNA mimics and reporter constructs. A miR-3664-3p mimic induced repression of a luciferase reporter carrying the UGT2B7 3'-UTR in liver cancer cell lines; mutation of the miR-3664-3p site abrogated the response of the reporter to the mimic. Similarly, mutation of the miR-135a-5p site or miR-410-3p site in a luciferase reporter bearing UGT2B4 3'-UTR abrogated  the ability of miR-135a-5p or miR-410-3p mimics to reduce reporter activity. Transfection of miR-3664-3p mimics in HepG2 liver cancer cells significantly reduced mRNA and protein levels of UGT2B7, and this led to reduced enzymatic activity. Transfection of miR-135a-5p or miR-410-3p mimics significantly decreased UGT2B4 mRNA levels in Huh7 liver cancer cells. The expression levels of miR-410-3p were inversely correlated with UGT2B4 mRNA levels in The Cancer Genome Atlas cohort of liver hepatocellular carcinoma (371 specimens) and a panel of ten normal human tissues. Similarly, there was an inverse correlation between miR-135a and UGT2B4 mRNA levels in a panel of 18 normal human liver tissues. Together, these data suggest that miR-135a and miR-410 control UGT2B4 and that miR-3664 controls UGT2B7 expression in liver cancer and/or normal liver cells.  Copyright © 2017 by The American Society for Pharmacology and Experimental Therapeutics.  DOI: 10.1124/jpet.116.239707 	28389526
12. Mol Carcinog. 2017 Sep;56(9):2035-2047. doi: 10.1002/mc.22657. Epub 2017 Apr 18.	 The miR-200b-ZEB1 circuit regulates diverse stemness of human hepatocellular carcinoma.  Tsai SC(1), Lin CC(1), Shih TC(1)(2), Tseng RJ(1), Yu MC(3), Lin YJ(4), Hsieh SY(1)(5).  Author information:  (1)Department of Gastroenterology and Hepatology, Chang Gung Memorial Hospital, Linkou, Taoyuan, Taiwan. (2)Department of Biochemistry and Molecular Medicine, University of California Davis, Sacramento, California. (3)Department of General Surgery, Chang Gung Memorial Hospital, Linkou, Taoyuan,  Taiwan. (4)Medical Statistics and Clinical Informatics Lab, Chang Gung University, Taoyuan, Taiwan. (5)College of Medicine, Chang Gung University, Taoyuan, Taiwan.  Accumulating evidence suggests that human hepatocellular carcinoma (HCC) can be derived from cancer stem cells (CSCs), which contribute to tumor initiation, metastasis, chemoresistance, and recurrence. A great variety of HCC CSCs resulting in diverse clinical manifestations have been reported. However, how CSC diversity is regulated and generated remains unclear. Here we report that the miR-200b-ZEB1 circuit is closely involved with the induction and maintenance of a diverse group of CSCs. We found that miR-200b downregulation occurred in early HCC and associated with poor prognosis. The downregulation was attributable to genome deletion and promoter methylation of the miR-200a/b/429 gene. Ectopic expression of miR-200b or silencing of ZEB1 led to a decrease in CD13+ and CD24+  HCC CSCs and an increase in EpCAM+ HCC CSCs. Mechanistically, miR-200b directly suppressed BMI1 and ZEB1 expressions. ZEB1 recognized promoters of CD13, CD24, and EpCAM genes resulting in CD13 and CD24 upregulation and EpCAM downregulation. Neither miR-200b nor ZEB1 had obvious effects on CD133 or CD90 expression. Silencing CD13 or CD24 expression suppressed tumorigenicity of HCC cells. Ectopic expression of CD24 reversed the suppression of tumorigenicity by ectopic expression of miR-200b. Clinically, miR-200b downregulation was coupled with ZEB1 upregulation in approximately two-thirds of HCC patients. ZEB1 expression was positively correlated with CD13 and CD24 expressions in HCCs, while miR-200b expression was positively correlated with EpCAM. Our findings suggest that the miR-200b-ZEB1 circuit is a master regulator of diverse stemness of HCC, which differentiates HCCs into those containing CD13+ /CD24+ CSCs from those containing EpCAM+ CSCs.  © 2017 Wiley Periodicals, Inc.  DOI: 10.1002/mc.22657 	28383782
13. J Biol Chem. 2017 Mar 3;292(9):3614-3623. doi: 10.1074/jbc.M116.749689. Epub 2017	Jan 19.  MicroRNA-145 Modulates N6-Methyladenosine Levels by Targeting the 3'-Untranslated mRNA Region of the N6-Methyladenosine Binding YTH Domain Family 2 Protein.  Yang Z(1), Li J(1), Feng G(1), Gao S(1), Wang Y(1), Zhang S(1), Liu Y(1), Ye L(2), Li Y(3), Zhang X(4).  Author information:  (1)From the State Key Laboratory of Medicinal Chemical Biology, Department of Cancer Research, College of Life Sciences, Nankai University, Tianjin 300071, China. (2)State Key Laboratory of Medicinal Chemical Biology, Department of Biochemistry, College of Life Sciences, Nankai University, Tianjin 300071, China, and. (3)Department of Clinical Laboratory, Key Laboratory of Cancer Prevention and Therapy, National Clinical Research Center for Cancer, Tianjin Medical University Cancer Institute and Hospital, Tianjin 300060, China yli08@tmu.edu.cn. (4)From the State Key Laboratory of Medicinal Chemical Biology, Department of Cancer Research, College of Life Sciences, Nankai University, Tianjin 300071, China, zhangxd@nankai.edu.cn.  N6-Methyladenosine (m6A) is a prevalent modification present in the mRNAs of higher eukaryotes. YTH domain family 2 (YTHDF2), an m6A "reader" protein, can recognize mRNA m6A sites to mediate mRNA degradation. However, the regulatory mechanism of YTHDF2 is poorly understood. To this end, we investigated the post-transcriptional regulation of YTHDF2. Bioinformatics analysis suggested that the microRNA miR-145 might target the 3'-untranslated region (3'-UTR) of YTHDF2 mRNA. The levels of miR-145 were negatively correlated with those of YTHDF2 mRNA  in clinical hepatocellular carcinoma (HCC) tissues, and immunohistochemical staining revealed that YTHDF2 was closely associated with malignancy of HCC. Interestingly, miR-145 decreased the luciferase activities of 3'-UTR of YTHDF2 mRNA. Mutation of predicted miR-145 binding sites in the 3'-UTR of YTHDF2 mRNA abolished the miR-145-induced decrease in luciferase activity. Overexpression of  miR-145 dose-dependently down-regulated YTHDF2 expression in HCC cells at the levels of both mRNA and protein. Conversely, inhibition of miR-145 resulted in the up-regulation of YTHDF2 in the cells. Dot blot analysis and immunofluorescence staining revealed that the overexpression of miR-145 strongly  increased m6A levels relative to those in control HCC cells, and this increase could be blocked by YTHDF2 overexpression. Moreover, miR-145 inhibition strongly  decreased m6A levels, which were rescued by treatment with a small interfering RNA-based YTHDF2 knockdown. Thus, we conclude that miR-145 modulates m6A levels by targeting the 3'-UTR of YTHDF2 mRNA in HCC cells.  © 2017 by The American Society for Biochemistry and Molecular Biology, Inc.  DOI: 10.1074/jbc.M116.749689  PMCID: PMC5339747	28104805
14. Sci Rep. 2017 Jan 17;7:40733. doi: 10.1038/srep40733.	 MiR-124 inhibits the migration and invasion of human hepatocellular carcinoma cells by suppressing integrin αV expression.  Cai QQ(1), Dong YW(1), Wang R(1), Qi B(1), Guo JX(2), Pan J(2), Liu YY(1), Zhang  CY(1), Wu XZ(1).  Author information:  (1)Department of Biochemistry and Molecular Biology, School of Basic Medical Sciences, Fudan University, Key Lab of Glycoconjugate Research, Ministry of Public Health, Shanghai, PR. China. (2)Yu Ying Children's Hospital, Wenzhou Medical University, Wenzhou, PR. China.  Tumor metastasis is the major cause of cancer-related death especially in human hepatocellular carcinoma (HCC). Although microRNAs have been implicated in tumor  development, the roles of miR-124 in HCC metastasis are still not well understood. We conducted functional analysis in this study to investigate miR-124. We observed that miR-124 significantly retarded the wound healing and migration of HCC SMMC-7721 and BEL-7404 cells. Further analysis indicated miR-124 directly targeting the transcriptional factor Sp1 which is an important transcription factor for the integrin αV subunit gene transcription. Co-transfection of miR-124 with the luciferase reporter containing Sp1 3' untranslated region (UTR) significantly suppressed the luciferase activities. While mutation of the binding site of miR-124 in Sp1 mRNA 3'UTR completely abrogated the suppression of miR-124. Overexpression of miR-124 resulted in robust downregulation of Sp1 and integrin αV expression at either mRNA or protein level. Ectopic expression of miR-124 in HCC dramatically repressed the wound healing and migration in vitro and tumor metastasis in mouse experiments. Our findings demonstrated that miR-124 played as an important role in regulation of integrin αV expression in HCC, and reintroduction of miR-124 might be an alternative therapeutic strategy for controlling integrin αV expression in HCC.  DOI: 10.1038/srep40733  PMCID: PMC5240551	28094803
15. J Hepatol. 2017 Apr;66(4):734-742. doi: 10.1016/j.jhep.2016.12.010. Epub 2016 Dec	22.  Germline and somatic DICER1 mutations in familial and sporadic liver tumors.  Caruso S(1), Calderaro J(2), Letouzé E(1), Nault JC(3), Couchy G(1), Boulai A(1), Luciani A(4), Zafrani ES(5), Bioulac-Sage P(6), Seror O(7), Imbeaud S(1), Zucman-Rossi J(8).  Author information:  (1)INSERM, Unité Mixte de Recherche (UMR) 1162, Génomique Fonctionnelle des Tumeurs Solides, Equipe Labellisée Ligue contre le Cancer, Paris, France; Université Paris Descartes, Labex Immuno-Oncology, Sorbonne Paris Cité, Paris, France; Université Paris 13, Sorbonne Paris Cité, Unité de Formation et de Recherche (UFR) Santé, Médecine, Biologie Humaine (SMBH), Bobigny, France; Université Paris Diderot, Institut Universitaire d'Hématologie, Paris, France. (2)INSERM, Unité Mixte de Recherche (UMR) 1162, Génomique Fonctionnelle des Tumeurs Solides, Equipe Labellisée Ligue contre le Cancer, Paris, France; AP-HP,  Department of Pathology, CHU Henri Mondor, Créteil, France; Université Paris-Est  Créteil, 94010 Créteil, France. (3)INSERM, Unité Mixte de Recherche (UMR) 1162, Génomique Fonctionnelle des Tumeurs Solides, Equipe Labellisée Ligue contre le Cancer, Paris, France; Université Paris Descartes, Labex Immuno-Oncology, Sorbonne Paris Cité, Paris, France; Université Paris 13, Sorbonne Paris Cité, Unité de Formation et de Recherche (UFR) Santé, Médecine, Biologie Humaine (SMBH), Bobigny, France; Université Paris Diderot, Institut Universitaire d'Hématologie, Paris, France; AP-HP, Hôpitaux Universitaires Paris-Seine Saint-Denis, Site Jean Verdier, Pôle d'Activité Cancérologique Spécialisée, Service d'Hépatologie, Bondy, France. (4)AP-HP, Department of Medical Imaging, CHU Henri Mondor, Créteil, France. (5)AP-HP, Department of Pathology, CHU Henri Mondor, Créteil, France. (6)INSERM, UMR 1053, Bordeaux, France; Université de Bordeaux, Bordeaux, France;  CHU de Bordeaux, Pellegrin Hospital, Department of Pathology, Bordeaux, France. (7)INSERM, Unité Mixte de Recherche (UMR) 1162, Génomique Fonctionnelle des Tumeurs Solides, Equipe Labellisée Ligue contre le Cancer, Paris, France; AP-HP,  Radiology Department, Hôpital Jean Verdier, Hôpitaux Universitaires Paris-Seine-Saint-Denis, Bondy, France. (8)INSERM, Unité Mixte de Recherche (UMR) 1162, Génomique Fonctionnelle des Tumeurs Solides, Equipe Labellisée Ligue contre le Cancer, Paris, France; Université Paris Descartes, Labex Immuno-Oncology, Sorbonne Paris Cité, Paris, France; Université Paris 13, Sorbonne Paris Cité, Unité de Formation et de Recherche (UFR) Santé, Médecine, Biologie Humaine (SMBH), Bobigny, France; Université Paris Diderot, Institut Universitaire d'Hématologie, Paris, France; AP-HP, Hôpital Européen Georges Pompidou, Paris, France. Electronic address: jessica.zucman-rossi@inserm.fr.  BACKGROUND & AIMS: Growing evidence suggests that genetic predisposition significantly increases the risk of hepatocellular carcinoma (HCC), independently from the presence of other risk factors. Here, we report a novel germline DICER1  mutation associated with familial recurrent liver tumors. We then aimed to investigate the contribution of constitutional and somatic DICER1 mutations on HCC occurrence. METHODS: We investigated two individuals of a single family that developed recurrent well-differentiated hepatocellular tumors over the years. Histological  slides from surgically resected tumors were reviewed. Exome sequencing was performed on constitutional DNA from circulating lymphocytes in both patients. The presence of somatic DICER1 mutations was analyzed in 243 liver tumors. MicroRNA (miRNA) sequencing was performed in 50 liver tumors to identify groups of tumors with similar profiles and differentially expressed miRNAs (DEMs). RESULTS: A pathological study identified hepatocellular adenomas and well-differentiated carcinomas in both patients. Tumors exhibited Wnt/β-catenin pathway activation, with strong and diffuse glutamine synthetase expression. Interestingly, non-tumor liver tissues showed abnormal liver zonation as previously reported in Dicer1 knockout mouse livers. Screening for DICER1 mutations in 243 sporadic liver tumors identified six tumors with somatic DICER1  mutations. In HCCs, DICER1 mutations were significantly associated with CTNNB1 mutations (p=0.03). miRNA profiling identified a specific expression profile in DICER1-mutated tumors with a decreased expression of mature miRNAs compared to the other samples. Among the DEMs, downregulation of let-7a and miR-365b was closely related to DICER1 mutations. CONCLUSIONS: Our results highlight the role of DICER1 mutations in liver carcinogenesis in a specific subtype of familial and sporadic hepatocellular carcinomas associated with β-catenin activation. LAY SUMMARY: DICER1 germline mutations are known to predispose individuals to the development of malignant tumors, mainly pleuropulmonary blastoma and ovarian Sertoli-Leydig cell tumor. Here, we described familial HCC associated with a novel DICER1 germline mutation and altered liver zonation. Familial and sporadic  HCCs carrying DICER1 mutations are associated with CTNNB1 mutation and characterized by a reduced expression of specific mature miRNAs.  Copyright © 2017 European Association for the Study of the Liver. Published by Elsevier B.V. All rights reserved.  DOI: 10.1016/j.jhep.2016.12.010 	28012864
16. Oncogenesis. 2016 Dec 5;5(12):e273. doi: 10.1038/oncsis.2016.77.	 Hepatocarcinogenesis in transgenic mice carrying hepatitis B virus pre-S/S gene with the sW172* mutation.  Lai MW(1)(2)(3), Liang KH(2), Lin WR(2)(3), Huang YH(2), Huang SF(4), Chen TC(5), Yeh CT(2)(3).  Author information:  (1)Division of Pediatric Gastroenterology, Department of Pediatrics, Chang Gung Memorial Hospital, Linkou, Taiwan. (2)Liver Research Center, Department of Hepato-Gastroenterology, Chang Gung Memorial Hospital, Linkou, Taiwan. (3)Molecular Medicine Research Center, Chang Gung University, Taoyuan, Taiwan. (4)Institute of Molecular and Genomic Medicine, National Health Research Institutes, Zhunan, Taiwan. (5)Department of Pathology, Chang Gung Memorial Hospital, Linkou, Taiwan.  Hepatitis B virus (HBV) carrying the rtA181T/sW172* mutation conferred cross-resistance to adefovir and lamivudine. Cell-based and clinical studies indicated that HBV carrying this mutation had an increased oncogenic potential. Herein, we created transgenic mouse models to study the oncogenicity of the HBV pre-S/S gene containing this mutation. Transgenic mice were generated by transfer of the HBV pre-S/S gene together with its own promoter into C57B6 mice. Four lines of mice were created. Two of them carried wild-type gene and produced high  and low levels of HBV surface antigen (HBsAg) (TgWT-H and L). The other two carried the sW172* mutation with high and low intrahepatic expression levels (TgSW172*-H and L). When sacrificed 18 months after birth, none of the TgWT mice  developed hepatocellular carcinoma (HCC), whereas 6/26 (23.1%) TgSW172*-H and 2/24 (8.3%) TgSW172*-L mice developed HCC (TgWT vs TgSW172*; P=0.0021). Molecular analysis of liver tissues revealed significantly increased expression of glucose-regulated protein 78 and phosphorylated extracellular signal-regulated kinases 1 in TgSW172* mice, and decreased expression of B-cell lymphoma-extra large in TgSW172*-H mice. Higher proportion of apoptotic cells was found in TgSW172*-H mice, accompanied by increased cyclin E levels, suggesting increased hepatocyte turnover. Combined analysis of complimentary DNA microarray and microRNA array identified microRNA-873-mediated reduced expression of the CUB and Sushi multiple domains 3 (CSMD3) protein, a putative tumor suppressor, in TgSW172* mice. Our transgenic mice experiments confirmed that HBV pre-S/S gene carrying the sW172* mutation had an increased oncogenic potential. Increased endoplasmic reticulum stress response, more rapid hepatocyte turnover and decreased CSMD3 expression contributed to the hepatocarcinogenesis.  DOI: 10.1038/oncsis.2016.77  PMCID: PMC5177775	27918551
17. Oncotarget. 2016 Dec 13;7(50):83755-83766. doi: 10.18632/oncotarget.13194.	 Icaritin inhibits the expression of alpha-fetoprotein in hepatitis B virus-infected hepatoma cell lines through post-transcriptional regulation.  Zhang C(1)(2), Li H(2), Jiang W(2), Zhang X(2), Li G(2).  Author information:  (1)Department of Cell Biology and Municipal Laboratory of Liver Protection and Regulation of Regeneration, Capital Medical University, Beijing, China. (2)Department of Biochemistry and Molecular Biology, School of Basic Medical Sciences, Peking University Health Science Center, Beijing, China.  Although it has showed that icaritin can apparently suppress growth of HCC by reducing the level of AFP, the intrinsic mechanism remains unclear. In this study, we explored the possible mechanism of miRNAs on post-transcriptional regulation of AFP gene, as well as the effects of HBV infection and icaritin in hepatoma cells. The results showed that miR-620, miR-1236 and miR-1270 could bind target sites in the range of 9-18 nt and 131-151 nt downstream of the stop codon  in the AFP mRNA 3'-UTR to suppress the expression of AFP. Mutation of these target sites could reverse the effects of these miRNAs. Icaritin (10 μM) might reduce the stability and translational activity of AFP mRNA by increasing the expression levels of these mentioned miRNAs. HBV infection resulted in apparent decreases of these miRNAs and, consequently, increased AFP expression. The results indicated that miR-620, miR-1236 and miR-1270 are critical factors in the post-transcriptional regulation of AFP. Icaritin can counteract the effect of HBV. These findings will contribute to full understanding of the regulatory mechanism of AFP expression in hepatoma cells. And also it revealed a synergistic mechanism of HBV infection and elevation of AFP in the pathogenesis of HCC, as well as the potential clinical significance of icaritin on the therapy of HCC induced by HBV.  DOI: 10.18632/oncotarget.13194  PMCID: PMC5347802	27835879
18. Curr Cancer Drug Targets. 2017;17(6):505-511. doi:	10.2174/1568009616666160926124530.  Hepatitis B Virus (HBV) Infection and Hepatocellular Carcinoma- New Insights for  an Old Topic.  Yan SY(1), Fan JG(2), Qio L(3).  Author information:  (1)Department of Gastroenterology, Xinhua Hospital, Shanghai Jiaotong University, School of Medicine, Shanghai Key Laboratory of Children's Digestion and Nutrition, Shanghai 200092, China. (2)Department of Gastroenterology, Xinhua Hospital, Shanghai Jiaotong University  School of Medicine, Shanghai Key Laboratory of Children's Digestion and Nutrition, Shanghai 200092, China. (3)Storr Liver Centre, The Westmead Institute for Medical Research The University of Sydney, Westmead, NSW 2145, Australia.  BACKGROUND: Hepatocellular carcinoma (HCC) is the most deadly form of liver cancer. Chronic hepatitis and subsequent liver fibrosis and cirrhosis are the major causes of HCC. HBV infection results not only in HCC but also extra-hepatic cancers. However, the importance and approaches for HCC screening in HBV infected individuals, the risk factors of HCC, the possible mechanisms leading to HCC and  the potential therapeutic approaches of HBV-related HCC have less been systematic reviewed. METHODS: In this study, we reviewed the screening, risk, new biomarker, mechanism and therapeutic of HBV-related HCC. RESULTS: Serum AFP should be used for the HCC screening in CHB patients. Higher HBV viral load is associated with increased risk of HCC. HBV genotype and genetic polymorphism contribute to the risk of HCC.Ku86, Ku86 antibody, miR-18a, miR-122  and miR-150 may be reliable markers of HBVrelated HCC. MicroRNAs and HBx play a key role in HBV-related HCC. Two types of drugs, conventional interferon (IFN), and nucleoside analogs (NAs), have recently become available for the treatment of CHB infection. However, treatment guidelines for these patients have not yet established. CONCLUSION: A comprehensive understanding of how HBV infection causes HCC is of great importance in developing more effective antiviral therapy and prevention of late stage consequences such as cirrhosis and HCC. Regular screening in HBV infected individuals is a practically useful approach in reducing the HCC incidence in these patients. More reliable markers for HCC early detection should be explored. Combining IFNs and NAs with other curative approaches have superior  benefits in preventing HCC recurrence.  Copyright© Bentham Science Publishers; For any queries, please email at epub@benthamscience.org.  DOI: 10.2174/1568009616666160926124530 	27677954
19. Cancers (Basel). 2016 Aug 20;8(8). pii: E76. doi: 10.3390/cancers8080076.	 Epigenetic Activation of Wnt/β-Catenin Signaling in NAFLD-Associated Hepatocarcinogenesis.  Tian Y(1), Mok MT(2)(3), Yang P(4), Cheng AS(5)(6)(7).  Author information:  (1)Key Laboratory of Infection and Immunity, Institute of Biophysics, Chinese Academy of Sciences, Beijing 100101, China. teresaty1987@163.com. (2)School of Biomedical Sciences, The Chinese University of Hong Kong, Hong Kong, China. mythmok@mythmok.com. (3)Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen 518057, China. mythmok@mythmok.com. (4)Key Laboratory of Infection and Immunity, Institute of Biophysics, Chinese Academy of Sciences, Beijing 100101, China. pyyang@ibp.ac.cn. (5)School of Biomedical Sciences, The Chinese University of Hong Kong, Hong Kong, China. alfredcheng@cuhk.edu.hk. (6)Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen 518057, China. alfredcheng@cuhk.edu.hk. (7)State Key Laboratory of Digestive Disease and Institute of Digestive Disease,  The Chinese University of Hong Kong, Hong Kong, China. alfredcheng@cuhk.edu.hk.  Non-alcoholic fatty liver disease (NAFLD), characterized by fat accumulation in liver, is closely associated with central obesity, over-nutrition and other features of metabolic syndrome, which elevate the risk of developing hepatocellular carcinoma (HCC). The Wnt/β-catenin signaling pathway plays a significant role in the physiology and pathology of liver. Up to half of HCC patients have activation of Wnt/β-catenin signaling. However, the mutation frequencies of CTNNB1 (encoding β-catenin protein) or other antagonists targeting Wnt/β-catenin signaling are low in HCC patients, suggesting that genetic mutations are not the major factor driving abnormal β-catenin activities in HCC.  Emerging evidence has demonstrated that obesity-induced metabolic pathways can deregulate chromatin modifiers such as histone deacetylase 8 to trigger undesired global epigenetic changes, thereby modifying gene expression program which contributes to oncogenic signaling. This review focuses on the aberrant epigenetic activation of Wnt/β-catenin in the development of NAFLD-associated HCC. A deeper understanding of the molecular mechanisms underlying such deregulation may shed light on the identification of novel druggable epigenetic targets for the prevention and/or treatment of HCC in obese and diabetic patients.  DOI: 10.3390/cancers8080076  PMCID: PMC4999785	27556491
20. Drug Discov Ther. 2016;10(4):181-7. doi: 10.5582/ddt.2016.01052. Epub 2016 Aug	18.  Advances of diagnostic and mechanistic studies of γ-glutamyl transpeptidase in hepatocellular carcinoma.  Xia J(1), Song P, Sun Z, Sawakami T, Jia M, Wang Z.  Author information:  (1)Hepato-Biliary-Pancreatic Surgery Division, Department of Surgery, Graduate School of Medicine, The University of Tokyo.  Hepatocellular carcinoma (HCC) is the fifth most common cancer and the second major cause of cancerous deaths in the world, accounting for 80-90% of all cases  of liver cancer with an assessed global incidence of 782,000 new cases and approximate 746,000 deaths in 2012. Preoperative laboratory data (des-γ carboxyprothrombin (DCP), α-fetoprotein (AFP), Indocyanine green retention 15 min (ICG-R15), and γ-glutamyl transferase (GGT)) should be completely assessed before deciding a treatment and predicting prognosis in order to improve the prognosis for patients with HCC. A few recent studies have suggested GGT as an independent  prognostic indicator in cases with HCC. And the data of our and other research teams revealed that combination of GGT and ICG-R15 or other factors may improve the efficiency of GGT as a prognostic predictor. In addition of clinical studies, a few mechanistic studies had been performed and GGT was suggested to promote tumor progression and poor prognosis through inducing DNA damage and genome instability, releasing reactive oxygen species to activating invasion-related signaling pathway, blocking chemotherapy, regulating microRNAs, and managing CpG  island methylation. Although there were a few mechanistic studies, further and accurate researches were still in need.  DOI: 10.5582/ddt.2016.01052 	27534452
21. World J Gastroenterol. 2016 Jun 28;22(24):5467-78. doi: 10.3748/wjg.v22.i24.5467.	 X region mutations of hepatitis B virus related to clinical severity.  Kim H(1), Lee SA(1), Kim BJ(1).  Author information:  (1)Hong Kim, Seoung-Ae Lee, Bum-Joon Kim, Department of Biomedical Sciences, Microbiology and Immunology, Liver Research Institute and Cancer Research Institute, College of Medicine, Seoul National University, Chongno-gu, Seoul 110-799, South Korea.  Chronic hepatitis B virus (HBV) infection remains a major health problem, with more than 240 million people chronically infected worldwide and potentially 650000 deaths per year due to advanced liver diseases including liver cirrhosis and hepatocellular carcinoma (HCC). HBV-X protein (HBx) contributes to the biology and pathogenesis of HBV via stimulating virus replication or altering host gene expression related to HCC. The HBV X region contains only 465 bp encoding the 16.5 kDa HBx protein, which also contains several critical cis-elements such as enhancer II, the core promoter and the microRNA-binding region. Thus, mutations in this region may affect not only the HBx open reading frame but also the overlapped cis-elements. Recently, several types of HBx mutations significantly associated with clinical severity have been described, although the functional mechanism in most of these cases remains unsolved. This review article will mainly focus on the HBx mutations proven to be significantly  related to clinical severity via epidemiological studies.  DOI: 10.3748/wjg.v22.i24.5467  PMCID: PMC4917607	27350725
22. Sci Rep. 2016 Apr 15;6:24466. doi: 10.1038/srep24466.	 Stratification of Digestive Cancers with Different Pathological Features and Survival Outcomes by MicroRNA Expression.  Tang S(1), Wu WK(1)(2), Li X(1), Wong SH(1), Wong N(3), Chan MT(2), Sung JJ(1), Yu J(1).  Author information:  (1)Institute of Digestive Disease and Department of Medicine &Therapeutics, State Key Laboratory of Digestive Disease, LKS Institute of Health Sciences, CUHK Shenzhen Research Institute, The Chinese University of Hong Kong, Hong Kong. (2)Department of Anaesthesia and Intensive Care, The Chinese University of Hong Kong, Hong Kong. (3)Department of Anatomical and Cellular Pathology, The Chinese University of Hong Kong, Hong Kong.  MicroRNAs (miRNAs) are aberrantly expressed in virtually all cancer types, including digestive cancers. Herein, we aggregated and systematically analyzed miRNA expression profiles of 1765 tumor samples, including esophageal, gastric, liver, pancreatic, colon and rectal cancers, obtained through small RNA sequencing by The Cancer Genome Atlas. We found that digestive cancers of different tissue origins could be differentiated according to their miRNA expression profiles. In particular, esophageal squamous cell carcinoma and esophageal adenocarcinoma exhibited distinct miRNA expression patterns. Thirteen  (e.g. miR-135b, miR-182) and sixteen (e.g. miR-139, miR-133a-1, miR-490) miRNAs were commonly upregulated and downregulated in more than four cancer types, respectively. Pertinent to pathological features, low miR-181d expression was associated with microsatellite instability in colon and gastric cancers whereas low miR-106a expression was associated with hepatitis B virus infection in hepatocellular carcinoma. Progression in colon cancer could also be predicted by  low let-7f-2 and high miR-106a expression. Molecular subtypes with distinct prognostic outcomes independent of tumor-node-metastasis staging were identified  in hepatocellular carcinoma and colon cancer. In total, 4 novel and 6 reported associations between specific miRNAs and patients' survival were identified. Collectively, novel miRNA markers were identified to stratify digestive cancers with different pathological features and survival outcomes.  DOI: 10.1038/srep24466  PMCID: PMC4832245	27080237
